Date,Open,High,Low,Close,Adj Close,Volume,mom,rsi,natr,cci,obv,adx,increase
2021/1/1,4.75,4.775,4.2875,4.3125,4.3125,40090000,5.5275,92.41949273,18.7598828,186.2641879,40090000,33.7194044,0
2021/1/2,4.75,4.775,4.2875,4.3125,4.3125,40090000,5.5275,92.41949273,18.7598828,186.2641879,40090000,33.7194044,0
2021/1/3,4.75,4.775,4.2875,4.3125,4.3125,40090000,5.5275,92.41949273,18.7598828,186.2641879,40090000,33.7194044,0
2021/1/4,4.75,4.775,4.2875,4.3125,4.3125,40090000,5.5275,92.41949273,18.7598828,186.2641879,40090000,33.7194044,0
2021/1/5,4.3375,4.52,4.3075,4.3425,4.3425,19846000,5.5275,92.41949273,18.7598828,186.2641879,59936000,33.7194044,1
2021/1/6,4.335,4.745,4.3325,4.59,4.59,24224800,5.5275,92.41949273,18.7598828,186.2641879,84160800,33.7194044,1
2021/1/7,4.6175,4.8625,4.505,4.52,4.52,24517200,5.5275,92.41949273,18.7598828,186.2641879,59643600,33.7194044,0
2021/1/8,4.545,4.575,4.27,4.4225,4.4225,25928000,5.5275,92.41949273,18.7598828,186.2641879,33715600,33.7194044,0
2021/1/9,4.8525,5.1625,4.7525,4.985,4.985,59632000,5.5275,92.41949273,18.7598828,186.2641879,93347600,33.7194044,1
2021/1/10,4.8525,5.1625,4.7525,4.985,4.985,59632000,5.5275,92.41949273,18.7598828,186.2641879,93347600,33.7194044,1
2021/1/11,4.8525,5.1625,4.7525,4.985,4.985,59632000,5.5275,92.41949273,18.7598828,186.2641879,93347600,33.7194044,1
2021/1/12,4.99,5.1,4.83,4.9875,4.9875,28242800,5.5275,92.41949273,18.7598828,186.2641879,121590400,33.7194044,0
2021/1/13,5.105,9.6625,5.0075,7.85,7.85,578006800,5.5275,92.41949273,18.7598828,186.2641879,699597200,33.7194044,1
2021/1/14,9.5225,10.765,8.2625,9.9775,9.9775,374869600,5.5275,92.41949273,18.7598828,186.2641879,1074466800,33.7194044,1
2021/1/15,9.6225,10.1875,8.5025,8.875,8.875,187465600,5.5275,92.41949273,18.7598828,186.2641879,887001200,33.7194044,0
2021/1/16,10.3875,11.38,9.16,9.84,9.84,298887600,5.5275,92.41949273,18.7598828,186.2641879,1185888800,33.7194044,0
2021/1/17,10.3875,11.38,9.16,9.84,9.84,298887600,5.5275,92.41949273,18.7598828,186.2641879,1185888800,33.7194044,0
2021/1/18,10.3875,11.38,9.16,9.84,9.84,298887600,5.5275,92.41949273,18.7598828,186.2641879,1185888800,33.7194044,0
2021/1/19,10.3875,11.38,9.16,9.84,9.84,298887600,5.5275,92.41949273,18.7598828,186.2641879,1185888800,33.7194044,0
2021/1/20,9.3425,10.2975,9.015,9.78,9.78,133887200,5.4375,92.41949273,18.7598828,186.2641879,1052001600,33.7194044,1
2021/1/21,9.8075,11.1875,9.25,10.7575,10.7575,224867600,6.1675,92.41949273,18.7598828,186.2641879,1276869200,33.7194044,1
2021/1/22,10.6475,19.190001,10.58,16.252501,16.252501,788631600,11.732501,92.41949273,18.7598828,186.2641879,2065500800,33.7194044,1
2021/1/23,24.182501,39.794998,15.2825,19.1975,19.1975,711496000,14.775,92.41949273,18.7598828,275.4194853,2776996800,33.7194044,0
2021/1/24,24.182501,39.794998,15.2825,19.1975,19.1975,711496000,14.775,92.41949273,18.7598828,275.4194853,2776996800,33.7194044,0
2021/1/25,24.182501,39.794998,15.2825,19.1975,19.1975,711496000,14.775,92.41949273,18.7598828,275.4194853,2776996800,33.7194044,0
2021/1/26,22.139999,37.5,20.049999,36.994999,36.994999,714352000,32.009999,96.37716071,12.57333467,246.7905912,3491348800,33.7194044,1
2021/1/27,88.707497,95,62.25,86.877502,86.877502,373586800,81.890002,98.5935367,9.740691017,342.3513788,3864935600,33.7194044,0
2021/1/28,66.25,120.75,28.0625,48.400002,48.400002,235263200,40.550002,65.37150725,29.91434313,174.2766709,3629672400,33.7194044,0
2021/1/29,94.927498,103.495003,62.5,81.25,81.25,202264400,71.2725,73.56213629,21.39042248,167.9840394,3831936800,33.7194044,0
2021/1/30,79.139999,80.5,53,56.25,56.25,149528800,47.375,61.61740425,32.27763016,88.97299282,3682408000,33.7194044,0
2021/1/31,79.139999,80.5,53,56.25,56.25,149528800,47.375,61.61740425,32.27763016,88.97299282,3682408000,33.7194044,0
2021/2/1,79.139999,80.5,53,56.25,56.25,149528800,47.375,61.61740425,32.27763016,88.97299282,3682408000,33.7194044,0
2021/2/2,35.189999,39.5,18.555,22.5,22.5,312732400,12.66,49.84945153,86.89687953,-14.54185481,3369675600,33.7194044,0
2021/2/3,28.002501,28.35,21.3125,23.102501,23.102501,170794000,13.322501,50.03291526,80.76147026,-26.03662157,3540469600,33.7194044,0
2021/2/4,22.797501,22.875,13.3325,13.375,13.375,249709200,2.6175,47.04080586,134.7519114,-50.61774774,3290760400,33.7194044,0
2021/2/5,13.51,23.75,12.7725,15.9425,15.9425,325380000,-0.310001,47.92599583,109.8937638,-50.28581215,3616140400,33.7194044,1
2021/2/6,18.102501,18.165001,14.505,15,15,102749200,-4.1975,47.61139375,110.1988446,-56.91166298,3513391200,33.7194044,0
2021/2/7,18.102501,18.165001,14.505,15,15,102749200,-4.1975,47.61139375,110.1988446,-56.91166298,3513391200,33.7194044,0
2021/2/8,18.102501,18.165001,14.505,15,15,102749200,-4.1975,47.61139375,110.1988446,-56.91166298,3513391200,33.7194044,0
2021/2/9,14.1525,14.25,11.63,12.5775,12.5775,107372400,-24.417499,46.76172799,123.9502212,-67.27825753,3406018800,33.7194044,0
2021/2/10,12.6925,15.7075,11.6375,12.8,12.8,145820000,-74.077502,46.85553734,115.3671361,-66.58426344,3551838800,33.7194044,1
2021/2/11,12.5025,13.83,12.055,12.775,12.775,52226800,-35.625002,46.84554919,108.3287193,-67.25414763,3499612000,33.7194044,1
2021/2/12,12.6875,13.81,12.0125,13.1,13.1,58293200,-68.15,47.00370961,99.07547472,-63.03337132,3557905200,32.01336406,1
2021/2/13,13.165,13.375,12.26,12.3775,12.3775,32700000,-43.8725,46.67124401,98.01225348,-57.92766906,3525205200,30.42918375,0
2021/2/14,13.165,13.375,12.26,12.3775,12.3775,32700000,-43.8725,46.67124401,98.01225348,-57.92766906,3525205200,30.42918375,0
2021/2/15,13.165,13.375,12.26,12.3775,12.3775,32700000,-43.8725,46.67124401,98.01225348,-57.92766906,3525205200,30.42918375,0
2021/2/16,13.165,13.375,12.26,12.3775,12.3775,32700000,-43.8725,46.67124401,98.01225348,-57.92766906,3525205200,30.42918375,0
2021/2/17,12.4425,12.7975,11.14,11.485,11.485,36747200,-11.015,46.23618156,99.11472527,-58.21717239,3488458000,29.05519872,0
2021/2/18,12.1225,12.2175,10.1625,10.1725,10.1725,95962400,-12.930001,45.56352206,105.3528354,-59.9257291,3392495600,27.8679346,0
2021/2/19,10.32,10.9725,9.625,10.1475,10.1475,59312800,-3.2275,45.54992871,99.0171565,-67.78583462,3333182800,26.81677231,0
2021/2/20,11.6725,12.1275,10.6,11.5,11.5,77904000,-4.4425,46.48019142,82.36084312,-64.55175236,3411086800,25.69015718,0
2021/2/21,11.6725,12.1275,10.6,11.5,11.5,77904000,-4.4425,46.48019142,82.36084312,-64.55175236,3411086800,25.69015718,0
2021/2/22,11.6725,12.1275,10.6,11.5,11.5,77904000,-4.4425,46.48019142,82.36084312,-64.55175236,3411086800,25.69015718,0
2021/2/23,11.2425,11.5575,10,11.2425,11.2425,30260800,-3.7575,46.31794278,79.21913687,-73.25206343,3380826000,24.70953934,0
2021/2/24,11.175,22.9275,11.175,22.9275,22.9275,332446800,10.35,54.14095995,39.73184074,172.2803237,3713272800,23.48059941,1
2021/2/25,42.389999,46.169998,25.25,27.182501,27.182501,601235200,14.382501,56.62003656,37.2262154,319.2343587,4314508000,24.16822614,0
2021/2/26,29.365,35.724998,21.5,25.434999,25.434999,368776800,12.659999,55.29789996,40.93690263,168.0618801,3945731200,24.3704459,0
2021/2/27,26.135,33.497501,24.9925,30.1,30.1,199176000,17,58.11002741,34.13975109,141.204023,4144907200,24.55822139,1
2021/2/28,26.135,33.497501,24.9925,30.1,30.1,199176000,17,58.11002741,34.13975109,141.204023,4144907200,24.55822139,1
2021/3/1,26.135,33.497501,24.9925,30.1,30.1,199176000,17,58.11002741,34.13975109,141.204023,4144907200,24.55822139,1
2021/3/2,29.2325,33.299999,28.049999,29.545,29.545,135132000,17.1675,57.64540761,33.5659517,115.609783,4009775200,24.73258435,1
2021/3/3,30.627501,31.9375,28.280001,31.045,31.045,77095600,19.56,58.60865779,30.50394233,95.37663729,4086870800,24.89449281,1
2021/3/4,31.25,36.967499,28.825001,33.087502,33.087502,130427600,22.915002,59.94450448,28.33435711,95.47067081,4217298400,25.4435234,1
2021/3/5,32.0425,37.8825,31.875,34.435001,34.435001,122934800,24.287501,60.84237577,26.52703831,91.78000535,4340233200,26.02440474,1
2021/3/6,38.7225,52.717499,36.525002,48.625,48.625,254262400,37.125,68.77902282,20.12957984,143.4149022,4594495600,27.53586141,1
2021/3/7,38.7225,52.717499,36.525002,48.625,48.625,254262400,37.125,68.77902282,20.12957984,143.4149022,4594495600,27.53586141,1
2021/3/8,38.7225,52.717499,36.525002,48.625,48.625,254262400,37.125,68.77902282,20.12957984,143.4149022,4594495600,27.53586141,1
2021/3/9,54.427502,62.462502,52.127499,61.724998,61.724998,156397200,50.482498,74.01519322,16.32605603,193.7162906,4750892800,29.41691577,1
2021/3/10,67.357498,87.125,43,66.25,66.25,286282400,43.3225,75.54112788,18.88187071,193.3471053,5037175200,32.00880775,0
2021/3/11,60.41,70.375,58.150002,65,65,113250000,37.817499,74.24408532,19.2137483,145.8089203,4923925200,34.41556458,1
2021/3/12,68.75,73.875,65.567497,66.125,66.125,103383600,40.690001,74.66569154,18.49648103,127.9415132,5027308800,36.74964718,0
2021/3/13,69.379997,70.75,51.5,55.035,55.035,96401600,24.935,63.6114482,23.13467729,72.05981296,4930907200,37.13647865,0
2021/3/14,69.379997,70.75,51.5,55.035,55.035,96401600,24.935,63.6114482,23.13467729,72.05981296,4930907200,37.13647865,0
2021/3/15,69.379997,70.75,51.5,55.035,55.035,96401600,24.935,63.6114482,23.13467729,72.05981296,4930907200,37.13647865,0
2021/3/16,50.790001,55.174999,43.087502,52.0425,52.0425,141691600,22.4975,60.98761122,24.37646462,24.27149751,4789215600,36.60558114,1
2021/3/17,54.459999,57.8675,51,52.452499,52.452499,65926400,21.407499,61.22360595,23.39355799,35.71909803,4855142000,36.25985791,0
2021/3/18,53.5,54.720001,48.912498,50.4375,50.4375,47059600,17.349998,59.32423992,23.41286288,16.94373382,4808082400,35.71388005,0
2021/3/19,48.932499,56.75,45.665001,50.067501,50.067501,98709200,15.6325,58.96251688,23.48261433,6.625173731,4709373200,34.85320152,1
2021/3/20,51.314999,52.59,46.549999,48.622501,48.622501,40246000,-0.002499,57.48825347,23.34061301,-13.71652742,4669127200,34.05400003,0
2021/3/21,51.314999,52.59,46.549999,48.622501,48.622501,40246000,-0.002499,57.48825347,23.34061301,-13.71652742,4669127200,34.05400003,0
2021/3/22,51.314999,52.59,46.549999,48.622501,48.622501,40246000,-0.002499,57.48825347,23.34061301,-13.71652742,4669127200,34.05400003,0
2021/3/23,49.375,50.4375,44.387501,45.4375,45.4375,57716400,-16.287498,54.2674453,24.14372432,-45.82296069,4611410800,33.05682892,0
2021/3/24,39.494999,41.7425,29.655001,30.084999,30.084999,96711600,-36.165001,42.04072044,37.60689139,-154.3404005,4514699200,30.75994119,0
2021/3/25,30.872499,46.875,29.225,45.9375,45.9375,203849200,-19.0625,53.65253487,25.61437165,-105.6025908,4718548400,28.94208548,1
